Image,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm
ImageNumber,ObjectNumber,Intensity_IntegratedIntensity_A568,Intensity_IntegratedIntensity_A647,Intensity_IntegratedIntensity_CellMask_Green,Intensity_IntegratedIntensity_Hoechst,Intensity_MeanIntensity_A568,Intensity_MeanIntensity_A647,Intensity_MeanIntensity_CellMask_Green,Intensity_MeanIntensity_Hoechst,Location_CenterMassIntensity_X_CellMask_Green,Location_CenterMassIntensity_Y_CellMask_Green,Location_CenterMassIntensity_Z_CellMask_Green,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CellMask_Green,Location_MaxIntensity_Y_CellMask_Green,Location_MaxIntensity_Z_CellMask_Green,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50,Intensity_IntegratedIntensity_A568,Intensity_IntegratedIntensity_A647,Intensity_IntegratedIntensity_CellMask_Green,Intensity_IntegratedIntensity_Hoechst,Intensity_MeanIntensity_A568,Intensity_MeanIntensity_A647,Intensity_MeanIntensity_CellMask_Green,Intensity_MeanIntensity_Hoechst,Location_CenterMassIntensity_X_CellMask_Green,Location_CenterMassIntensity_Y_CellMask_Green,Location_CenterMassIntensity_Z_CellMask_Green,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CellMask_Green,Location_MaxIntensity_Y_CellMask_Green,Location_MaxIntensity_Z_CellMask_Green,Number_Object_Number,Intensity_IntegratedIntensity_A568,Intensity_IntegratedIntensity_A647,Intensity_IntegratedIntensity_CellMask_Green,Intensity_IntegratedIntensity_Hoechst,Intensity_MeanIntensity_A568,Intensity_MeanIntensity_A647,Intensity_MeanIntensity_CellMask_Green,Intensity_MeanIntensity_Hoechst,Location_CenterMassIntensity_X_CellMask_Green,Location_CenterMassIntensity_Y_CellMask_Green,Location_CenterMassIntensity_Z_CellMask_Green,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CellMask_Green,Location_MaxIntensity_Y_CellMask_Green,Location_MaxIntensity_Z_CellMask_Green,Number_Object_Number
6,1,0.39671931881457567,0.20137331215664744,3.0092164389789104,3.2472419291734695,0.00466728610370089,0.0023690977900782052,0.035402546340928355,0.03820284622557023,830.7192369403244,6.182278703926987,0.0,830.564705882353,6.105882352941176,0,831.0,7.0,0.0,1,0.38586479834299686,0.45641306466064446,3.0,0.7293998437063884,1,3,0.52901683716061,5.0,1,-0.28922670191661837,0.3530733641771313,0.7095445287413895,0.3561760892625898,5.02355993189849,3.9731136076152325,0.0034952932450314756,0.001754562016071871,0.024746600649746254,0.019571988214853363,831.1311345893458,7.297613454812575,0.0,830.8226600985222,7.45320197044335,0,831.0,7.0,0.0,1,0.46909285546280444,0.23447013064287603,3.146684985840693,1.8648050725460052,0.003007005483735926,0.001503013657967154,0.020171057601542905,0.011953878670166701,831.4178248231733,7.973464984987038,0.0,830.8910256410256,7.852564102564102,834.0,5.0,0.0,1
6,2,0.3101701426785439,0.12056153197772801,1.8070954512804747,2.5365835074335337,0.004431002038264913,0.0017223075996818287,0.02581564930400678,0.03623690724905048,861.571925564843,6.330107739733916,0.0,861.5714285714286,6.542857142857143,0,861.0,5.0,0.0,2,0.04958467768208224,0.3940089648155968,3.0,0.8234344812647292,2,3,0.06021690712529327,5.0,2,-0.19884169884176117,0.3401544401544401,0.812481886940077,0.3418936445377767,4.329945853445679,3.4063019892200828,0.002881141443049918,0.001212388810417648,0.015354417920020139,0.012079085068156322,862.8254987623275,7.323142904181934,0.0,864.0992907801418,7.716312056737588,0,861.0,5.0,0.0,2,0.646463725483045,0.27333485917188227,3.27388420375064,1.902510124258697,0.002638627450951204,0.001115652486415846,0.01336279266836996,0.0077653474459538656,863.231741213742,7.577588857409858,0.0,864.4816326530612,7.881632653061224,863.0,3.0,0.0,2
6,3,1.3328755863476545,0.6600289973430336,9.063080837018788,12.357869864441454,0.005871698618271606,0.002907616728383408,0.03992546624237352,0.054439955349962356,181.95379738336388,9.570463117940436,0.0,181.9339207048458,9.440528634361234,0,183.0,7.0,0.0,3,0.11361116669045077,0.3184293724553519,3.0,0.5342614193908539,3,3,0.2126508906819179,5.0,3,0.056727722389666724,0.3133356519050938,2.0642710314132273,1.0335545944981277,13.199603320565075,13.13929964392446,0.0044681191156130465,0.0022371311569223543,0.028570569957933063,0.02844004251931701,181.36948173109923,10.109690228568958,0.0,180.93506493506493,10.257575757575758,0,183.0,7.0,0.0,3,1.0537575467023998,0.5148851764388382,6.162890089210123,2.526207392802462,0.0035008556368850492,0.0017105819815243796,0.02047471790435257,0.008392715590705854,180.58274507039056,10.849385335681811,0.0,180.46179401993356,10.687707641196013,173.0,6.0,0.0,3
6,4,0.5441977642476559,0.19671931024640799,3.694438082166016,4.6573586808517575,0.004154181406470656,0.0015016741240183817,0.028201817421114626,0.035552356342379826,268.0112673703063,8.998133114398149,0.0,267.9236641221374,8.648854961832061,0,268.0,8.0,0.0,4,0.0,0.0,1.0,0.0,2150,1,nan,0.0,0,0.0,0.0,1.19015793944709,0.5057297626044601,7.630991093348712,5.496482818620279,0.002662545725832416,0.0011313864935222821,0.017071568441495998,0.012296382144564383,263.48916706184167,9.347062668643668,0.0,259.6510067114094,9.04026845637584,0,268.0,8.0,0.0,4,0.814389260718599,0.36630807956680655,4.975844991859049,2.169344634981826,0.00224969409038287,0.001011900772283996,0.013745428154306764,0.005992664737518856,261.12548294637855,9.588600764360304,0.0,257.7099447513812,9.12707182320442,272.0,12.0,0.0,4
6,5,0.47026780503802,0.21025406289845705,3.0895552188158035,3.279499520547688,0.005167778077340879,0.0023104842076753524,0.03395115625072312,0.03603845626975481,496.7830783154138,12.254837656064687,0.0,496.7362637362637,12.153846153846153,0,498.0,14.0,0.0,5,0.0,0.0,1.0,0.0,2151,1,nan,0.0,0,0.0,0.0,0.7824826566502452,0.34535744274035096,4.607766873668879,3.7582818591035903,0.004471329466572829,0.001973471101373434,0.026330096420965024,0.0214758963377348,496.411027584231,12.678944928301494,0.0,495.89714285714285,11.782857142857143,0,498.0,14.0,0.0,5,0.5008468828164041,0.21881437418051064,2.675654252525419,1.5892118834890425,0.004105302318167247,0.0017935604441025462,0.021931592233814908,0.01302632691384461,496.17984134754676,13.000444826473338,0.0,495.5163934426229,11.598360655737705,499.0,8.0,0.0,5
6,6,0.4991378739941865,0.2149385823868215,3.377187767997384,3.420447097159922,0.006087047243831543,0.0026212022242295308,0.041185216682894925,0.04171276947756002,551.3854710759572,12.440964382955853,0.0,551.5487804878048,12.670731707317072,0,552.0,9.0,0.0,6,0.32949405088063993,0.387872553253214,3.0,0.49140128187423726,5,3,0.6705193149352962,5.0,5,-0.10598141695709273,0.373112659698025,0.8198062230367213,0.3523308157455176,4.950804932974279,3.8698100396431983,0.00499881843315074,0.0021483586325946194,0.030187834957160237,0.023596402680751208,550.3946389380077,13.078199793798111,0.0,550.2926829268292,13.414634146341463,0,552.0,9.0,0.0,6,0.5421988326124847,0.233722438570112,3.0324101811274886,1.6801556521095335,0.004480982087706485,0.0019315904014058842,0.025061241166342882,0.013885583901731682,549.6202013725912,13.374192997563187,0.0,549.8181818181819,13.669421487603305,552.0,9.0,0.0,6
6,7,0.4167391541413963,0.16034180228598416,2.2186923045665026,2.3756923750042915,0.00563161019109995,0.0021667811119727588,0.02998232844008787,0.03210395101357151,675.0596896937936,10.946328114047295,0.0,675.027027027027,11.054054054054054,0,674.0,12.0,0.0,7,0.22346869204979106,0.49415307611407205,3.0,0.8087073210692528,6,3,0.2763282663922546,5.0,7,-0.04146612365798319,0.492410218437616,0.9058213289827108,0.31505302526056767,4.243961252272129,3.4019989422522485,0.0043549102354938024,0.0015146780060604215,0.020403659866692927,0.016355764145443503,674.6103448745841,11.170892544601152,0.0,674.8365384615385,11.182692307692308,0,674.0,12.0,0.0,7,0.7013046555221081,0.232730601914227,3.0909285210072994,2.174547967966646,0.004030486525989127,0.0013375321949093506,0.01776395701728333,0.012497402114750839,674.4910349255705,11.24811912013401,0.0,674.8275862068965,11.218390804597702,676.0,12.0,0.0,7
6,8,0.7382162371650338,0.36552986945025623,5.516578936949372,5.792950377799571,0.004291954867238569,0.002125173659594513,0.03207313335435682,0.03367994405697425,509.53154795146213,12.561111283000539,0.0,509.7325581395349,12.593023255813954,0,504.0,12.0,0.0,8,0.1140504152257932,4.777221141225629,3.0,9.547347475713273,7,3,0.011945769808411902,5.0,4,4.748884670147106,0.5195538680588516,1.490257135592401,0.7631342029199004,10.421774676069617,6.865949544357136,0.003386948035437275,0.0017343959157270464,0.02368585153652186,0.015604430782629854,509.0387150059449,12.096614729744376,0.0,508.9068181818182,12.238636363636363,0,504.0,12.0,0.0,8,0.9923704969696701,0.5204242006875575,6.710261734202504,2.8022888724226505,0.002998098178156103,0.0015722785519261555,0.020272694061034754,0.0084661295239355,508.7749211524832,11.868736574414019,0.0,508.64954682779455,12.157099697885196,505.0,9.0,0.0,8
6,9,0.31493095494806767,0.13194476231001318,2.1679255519993603,4.167010001838207,0.00266890639786498,0.0011181759517797727,0.018372250440672547,0.03531364408337464,1044.0009079798342,10.20673587521281,0.0,1043.7288135593221,10.415254237288135,0,1046.0,9.0,0.0,9,0.1381917366347007,0.5191035652100727,3.0,0.9047036076875683,9,3,0.1527480773376379,5.0,8,0.03650586701451175,0.5178183398522371,0.5395284984260798,0.2650339512620121,3.7627375018782914,5.404074175516143,0.0019690821110440867,0.0009672771943869056,0.013732618619993765,0.019722898450788846,1046.7529674977773,9.359919852836876,0.0,1048.1277372262773,8.857664233576642,0,1046.0,9.0,0.0,9,0.34872968681156635,0.18698405427858233,2.4612039630301297,2.9000992032233626,0.001629577975754983,0.0008737572629840296,0.011500953098271633,0.01355186543562319,1048.2114945034295,8.946290941780681,0.0,1049.3785046728972,8.41588785046729,1047.0,10.0,0.0,9
