Image,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Nucleus,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cell,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm,Cytoplasm
ImageNumber,ObjectNumber,Intensity_IntegratedIntensity_A568,Intensity_IntegratedIntensity_A647,Intensity_IntegratedIntensity_CellMask_Green,Intensity_IntegratedIntensity_Hoechst,Intensity_MeanIntensity_A568,Intensity_MeanIntensity_A647,Intensity_MeanIntensity_CellMask_Green,Intensity_MeanIntensity_Hoechst,Location_CenterMassIntensity_X_CellMask_Green,Location_CenterMassIntensity_Y_CellMask_Green,Location_CenterMassIntensity_Z_CellMask_Green,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CellMask_Green,Location_MaxIntensity_Y_CellMask_Green,Location_MaxIntensity_Z_CellMask_Green,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50,Intensity_IntegratedIntensity_A568,Intensity_IntegratedIntensity_A647,Intensity_IntegratedIntensity_CellMask_Green,Intensity_IntegratedIntensity_Hoechst,Intensity_MeanIntensity_A568,Intensity_MeanIntensity_A647,Intensity_MeanIntensity_CellMask_Green,Intensity_MeanIntensity_Hoechst,Location_CenterMassIntensity_X_CellMask_Green,Location_CenterMassIntensity_Y_CellMask_Green,Location_CenterMassIntensity_Z_CellMask_Green,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CellMask_Green,Location_MaxIntensity_Y_CellMask_Green,Location_MaxIntensity_Z_CellMask_Green,Number_Object_Number,Intensity_IntegratedIntensity_A568,Intensity_IntegratedIntensity_A647,Intensity_IntegratedIntensity_CellMask_Green,Intensity_IntegratedIntensity_Hoechst,Intensity_MeanIntensity_A568,Intensity_MeanIntensity_A647,Intensity_MeanIntensity_CellMask_Green,Intensity_MeanIntensity_Hoechst,Location_CenterMassIntensity_X_CellMask_Green,Location_CenterMassIntensity_Y_CellMask_Green,Location_CenterMassIntensity_Z_CellMask_Green,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CellMask_Green,Location_MaxIntensity_Y_CellMask_Green,Location_MaxIntensity_Z_CellMask_Green,Number_Object_Number
4,1,0.9989623976871371,2.193347073160112,2.988250557333231,2.3336079996079206,0.012182468264477282,0.02674813503853795,0.036442079967478426,0.028458634141560007,831.0780912391734,6.082288650408216,0.0,830.939024390244,6.012195121951219,0,831.0,6.0,0.0,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0,1.5004348980728537,2.8286106777377427,5.316334806848317,2.9234454974066466,0.007011378028377821,0.013217806905316555,0.024842686013309894,0.013660960268255359,831.4022261382323,7.234924189469283,0.0,831.1635514018692,7.5046728971962615,0,831.0,6.0,0.0,1,0.8549324909690768,1.3962157745845616,3.4363164943642914,1.3865415554028004,0.005088883874815933,0.008310808182050962,0.020454264847406495,0.008253223544064289,831.6327514766577,7.886527011164747,0.0,831.2321428571429,7.916666666666667,832.0,3.0,0.0,1
4,2,0.6870985010173172,1.3035019570961595,1.728969257324934,1.7005111845210195,0.010570746169497188,0.02005387626301784,0.026599527035768216,0.02616171053109261,861.630361482118,6.331830056448459,0.0,861.5230769230769,6.553846153846154,0,862.0,5.0,0.0,2,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0,1.2484779199585319,2.081986742792651,4.488975379616022,2.4068665741942823,0.004490927769635006,0.007489160945297306,0.016147393451856194,0.008657793432353534,862.9621462809474,7.035511667171548,0.0,863.9532374100719,7.309352517985611,0,862.0,5.0,0.0,2,0.8377966033294797,1.34534219535999,3.524605195969343,1.4358892268501222,0.0034195779727733866,0.005491192634122408,0.014386143657017727,0.005860772354490295,863.341294903471,7.189423554089061,0.0,864.2816326530613,7.408163265306122,861.0,4.0,0.0,2
4,3,1.887953021330759,4.08307014266029,9.110505864024162,8.8249332876876,0.008620790051738625,0.018644155902558402,0.0416004833973706,0.04029649903053698,182.03660788366946,9.378777907260025,0.0,181.9543378995434,9.32876712328767,0,184.0,7.0,0.0,3,0.0,0.0,nan,0.0,3,1,nan,0.0,0,0.0,0.0,2.4300755553413182,5.102067639119923,13.593575996812433,9.451010958757252,0.0051052007465153745,0.010718629493949418,0.028557932766412674,0.01985506503940599,181.7378630562264,10.000749845312722,0.0,181.6386554621849,10.350840336134453,0,184.0,7.0,0.0,3,0.925932718673721,1.7268635341897607,6.495887711178511,1.831754035782069,0.002893539745855378,0.005396448544343002,0.02029964909743285,0.005724231361818965,181.42790833859027,10.73811392837016,0.0,181.5625,10.8375,189.0,13.0,0.0,3
4,4,0.7729762780945748,2.225162133574486,2.874036779627204,2.2350194603204727,0.009312967205958733,0.02680918233222272,0.03462694915213499,0.026927945305065936,497.0786142805412,11.848611625178139,0.0,497.0,11.710843373493976,0,496.0,13.0,0.0,4,0.0,0.0,1.0,0.0,4,1,nan,0.0,0,0.0,0.0,1.0850995746441185,2.7640955338720232,4.493812480010092,2.644342725398019,0.006062008796894517,0.015441874490905158,0.025105097653687666,0.01477286438769843,496.558478379332,11.847002722807806,0.0,496.01675977653633,10.620111731843576,0,496.0,13.0,0.0,4,0.6040589050389826,1.397009244421497,2.771053650416434,1.2489204287994653,0.004541796278488591,0.010503828905424789,0.020834989852755142,0.009390379163905754,496.2549875950117,11.870650469214604,0.0,495.65413533834584,10.225563909774436,496.0,16.0,0.0,4
4,5,0.6930037455167621,2.388708345592022,3.472114141099155,2.4938735105097294,0.008451265189228806,0.029130589580390512,0.042342855379257985,0.030413091591582064,551.3488540691575,12.079988567618708,0.0,551.560975609756,12.341463414634147,0,553.0,9.0,0.0,5,0.0,0.0,nan,0.0,5,1,nan,0.0,0,0.0,0.0,0.9006332580465823,2.8572671385481954,5.180086985230446,2.8359044876415282,0.005297842694391661,0.016807453756165856,0.03047109991312027,0.016681791103773696,550.5138875411507,12.780391597047794,0.0,550.4941176470588,13.241176470588234,0,552.0,9.0,0.0,5,0.47153429803438485,1.3700007749721408,3.2427100148051977,1.277134356321767,0.0036838617033936316,0.01070313105446985,0.025333671990665607,0.009977612158763804,549.8954642466368,13.103829913725974,0.0,550.125,13.5390625,553.0,9.0,0.0,5
4,6,0.8632639129646122,1.8266727719455957,2.07772945985198,1.5517815053462982,0.01307975625703958,0.027676860180993874,0.03148074939169667,0.02351184099009543,675.0022619750621,10.791692377071668,0.0,674.939393939394,10.848484848484848,0,674.0,12.0,0.0,6,0.0,0.0,nan,0.0,6,1,nan,0.0,0,0.0,0.0,1.4831464251037687,2.9110704304184765,4.376333280932158,2.4189059489872307,0.006930590771512938,0.013603132852422787,0.02045015551837457,0.011303298827043133,674.7451979163577,10.969316919974348,0.0,675.0794392523364,10.869158878504672,0,674.0,12.0,0.0,6,1.0568398653995246,2.0523231977131218,3.3917906708084047,1.6779125796165317,0.005681934760212498,0.011033995686629687,0.018235433714023683,0.009021035374282428,674.7913811691574,10.973591986902361,0.0,675.1612903225806,10.849462365591398,676.0,12.0,0.0,6
4,7,1.7071336139924824,4.64512094669044,5.443366151303053,4.240314352326095,0.010222356970014865,0.02781509548916431,0.032595006894030255,0.025391103906144283,509.52537906684745,12.44959367416671,0.0,509.7365269461078,12.479041916167665,0,505.0,12.0,0.0,7,0.0,0.0,nan,0.0,7,1,nan,0.0,0,0.0,0.0,2.536842937581241,6.215884679462761,10.591180311050266,5.117921746801585,0.00571361021977757,0.013999740269060272,0.02385400970957267,0.01152685078108465,508.9861934927736,12.482811381614221,0.0,508.9977477477477,12.722972972972974,0,505.0,12.0,0.0,7,1.3583428850397468,3.0824750340543687,7.020843842532486,2.2142824600450695,0.003983410220057908,0.009039516228898443,0.020588984875461836,0.006493496950278796,508.64210809665707,12.509989978875545,0.0,508.741935483871,12.818181818181818,503.0,11.0,0.0,7
4,8,1.3632562935817987,3.516975682694465,5.49968720972538,4.579034117050469,0.008312538375498772,0.02144497367496625,0.033534678108081584,0.027920939738112615,602.5736580979611,19.04213395561376,0.0,602.6646341463414,18.658536585365855,0,603.0,20.0,0.0,8,0.0,0.0,nan,0.0,8,1,nan,0.0,0,0.0,0.0,2.111665546428412,4.711574001936242,10.682536106556654,5.4576180865988135,0.004843269601900028,0.010806362389762023,0.024501229602194162,0.012517472675685351,602.4939749741479,17.508616163379777,0.0,603.1766055045872,17.038990825688074,0,603.0,20.0,0.0,8,1.1986419605091214,2.3639887326862663,7.181109374389052,2.3101548897102475,0.0035568010697600043,0.007014803361086844,0.02130892989432953,0.006855059019911714,602.3695172674483,16.819019409760894,0.0,603.2818991097923,16.617210682492583,601.0,17.0,0.0,8
4,9,0.48775464412756264,1.1827878346666694,2.0282292012125254,2.7988403225317597,0.004601458906863799,0.011158375798742164,0.019134237747287976,0.026404153986148676,1043.9844267204012,10.040580799569115,0.0,1043.688679245283,10.283018867924529,0,1046.0,9.0,0.0,9,0.0,0.0,nan,0.0,9,1,nan,0.0,0,0.0,0.0,0.7668574140407145,1.8458686359226704,3.793255539610982,3.8119630923029035,0.002653485861732576,0.006387088705614777,0.013125451694155648,0.01319018371039067,1046.4279720522084,9.250600381594777,0.0,1047.5570934256054,8.833910034602075,0,1046.0,9.0,0.0,9,0.48357366723939776,1.1713893441483378,2.655207162722945,2.2062714712228626,0.0020403952204193997,0.0049425710723558555,0.011203405749885844,0.009309162325834864,1047.4826474470906,8.910688527735076,0.0,1048.4135021097047,8.50632911392405,1047.0,10.0,0.0,9
